Assembly Accession	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_000585535.1	Cladophialophora psammophila CBS 110553	39420127	Scaffold	2014-03-05	AMGX01	398655	1349832
GCF_000585515.1	Cladophialophora yegresii CBS 114405	27898422	Scaffold	2014-03-05	AMGW01	666756	4268086
GCA_000585515.1	Cladophialophora yegresii CBS 114405	27898422	Scaffold	2014-03-05	AMGW01	666756	4268086
GCA_022457155.1	Cladopsammia gracilis	878658226	Contig	2022-03-03	JAJGOT01	1308184	
GCA_001742925.1	Cladosiphon okamuranus	169730751	Scaffold	2016-08-18	BDDF01	99235	505945
GCA_001931905.2	Cladosporiaceae sp. IMV 00045	50156125	Scaffold	2017-02-15	MSJI02	46565	72128
GCA_024708745.1	Cladosporiales sp.	49777144	Contig	2022-08-18	JALDSY01	3827	
GCA_022813715.1	Cladosporium austrohemisphaericum	29394374	Scaffold	2022-04-04	JAKLLY01	775431	1159352
GCA_022813755.1	Cladosporium austrohemisphaericum	32491321	Scaffold	2022-04-04	JAKLLV01	213466	269895
GCA_002901145.1	Cladosporium cladosporioides	33225733	Contig	2018-01-26	NOXB01	1992403	
GCA_018408255.1	Cladosporium cladosporioides	33871387	Scaffold	2021-05-19	JAGUPT01	634743	634743
GCA_018408295.1	Cladosporium cladosporioides	34027712	Scaffold	2021-05-19	JAGUPU01	965801	965801
GCA_018408335.1	Cladosporium cladosporioides	34025119	Scaffold	2021-05-19	JAGUPV01	947935	1102510
GCA_022457075.1	Cladosporium cladosporioides	31912211	Contig	2022-03-03	JAJHGP01	1981920	
GCA_022814635.1	Cladosporium colombiae	31724365	Scaffold	2022-04-04	JAKLNF01	1393569	1789989
GCA_019775475.1	Cladosporium colombiae	32718873	Scaffold	2021-08-26	JACWFR01	1065755	1207407
GCA_023634325.1	Cladosporium cucumerinum	33848396	Contig	2022-06-01	JALDQA01	2070767	
GCA_021219475.1	Cladosporium cucumerinum	33052442	Contig	2021-12-15	JAGDQQ01	2028198	
GCA_022560005.1	Cladosporium cucumerinum	33202327	Scaffold	2022-03-14	JAFISC01	441501	502680
GCA_022814475.1	Cladosporium endophyticum	27289123	Scaffold	2022-04-04	JAKLNN01	464370	487665
GCA_003614995.1	Cladosporium phlei	32816021	Contig	2018-10-05	QZFA01	130035	
GCA_002921095.1	Cladosporium sp. SL-16	35856902	Contig	2018-02-07	PEGC01	610332	
GCA_018703675.1	Cladosporium sp. SW67	26364472	Scaffold	2021-06-03	QNVK01	1090455	1090455
GCA_011745625.1	Cladosporium sp. TM138-S3	28010873	Scaffold	2020-03-23	JAAQHG01	438704	588500
GCA_023621355.1	Cladosporium sphaerospermum	28077488	Scaffold	2022-06-01	JALZWQ01	691500	997395
GCA_019191205.1	Cladosporium sphaerospermum	30579078	Scaffold	2021-07-09	JAHARS01	590195	873859
GCA_000261425.2	Cladosporium sphaerospermum UM 843	26894178	Scaffold	2014-07-22	AIIA02	92815	969659
GCA_021018855.1	Cladosporium tenuissimum	33552215	Scaffold	2021-12-01	JAIQXY01	1518065	1881040
GCA_024604135.1	Cladosporium velox	31985200	Contig	2022-08-05	JANIIF01	1662353	
GCA_003987875.1	Clarias batrachus	821750104	Scaffold	2018-12-31	QMIH01	24893	361123
GCA_023065575.1	Clarias fuscus	926785415	Scaffold	2022-04-20	JAKDEJ01	1291	3082
GCA_023065535.1	Clarias fuscus	992075681	Scaffold	2022-04-20	JAKDEI01	1097	2810
GCA_024256435.1	Clarias gariepinus	972641408	Chromosome	2022-07-13	JAMBOZ01	32098287	34021760
GCA_024256425.1	Clarias gariepinus	969720887	Chromosome	2022-07-13	JAMBPB01	33715535	33715535
GCA_024256465.1	Clarias gariepinus	954244515	Chromosome	2022-07-13	JAMBPA01	19532794	33187444
GCA_011419295.1	Clarias macrocephalus	883399353	Scaffold	2020-03-18	JAAGKR01	47837	80802
GCA_013621035.1	Clarias magur	941297321	Scaffold	2020-07-24	QNUK01	1226249	1316675
GCA_001465935.1	Clarireedia homoeocarpa	43359131	Scaffold	2015-12-14	LNKV01	425870	709078
GCA_001465945.1	Clarireedia homoeocarpa	42266283	Scaffold	2015-12-14	LNGN01	291268	600417
GCA_000280825.1	Clarireedia homoeocarpa LT30	29725518	Contig	2012-07-23	AKKO01	1288	
GCA_002242905.1	Clarireedia jacksonii	39468807	Scaffold	2017-08-07	LLKD01	27503	168655
GCA_002242965.1	Clarireedia jacksonii	37244066	Scaffold	2017-08-07	LLKH01	25014	25161
GCA_002242995.1	Clarireedia jacksonii	35887177	Scaffold	2017-08-07	LLKE01	17262	17322
GCA_002242955.1	Clarireedia monteithiana	36184363	Scaffold	2017-08-07	LLKG01	20569	20763
GCA_002242835.1	Clarireedia monteithiana	48719559	Scaffold	2017-08-07	LLKI01	8669	8758
GCA_002242865.1	Clarireedia sp. CPB17	36396316	Scaffold	2017-08-07	LLKJ01	20630	20651
GCA_002242985.1	Clarireedia sp. SE16F4	36003868	Scaffold	2017-08-07	LLKF01	15633	15633
GCA_910592215.1	Claroideoglomus candidum	69898350	Contig	2021-11-11	CAJVPN01	15877	
GCA_910592255.1	Claroideoglomus candidum	68122262	Contig	2021-11-11	CAJVPO01	15216	
GCA_010015635.1	Clathrospora elynae	37388950	Scaffold	2020-01-29	JAADKG01	54436	180778
GCA_020884735.1	Clathrus columnatus	36509728	Contig	2021-10-29	BPWL01	3174166	
GCA_001179745.1	Clavaria fumosa	70469476	Scaffold	2015-07-08	CVRD01	2755	3145
GCA_013620735.1	Clavariopsis aquatica	34180246	Scaffold	2020-07-24	JAAZQE01	28462	30079
GCA_018360325.1	Claviceps aff. humidiphila group G2b	31203652	Contig	2021-05-14	SRQG01	67487	
GCA_018361025.1	Claviceps aff. purpurea	29595454	Contig	2021-05-14	SRRH01	48893	
GCA_022285415.1	Claviceps aff. purpurea	29291845	Contig	2022-02-16	JAIUSE01	36412	
GCA_018360145.1	Claviceps africana	37712632	Contig	2021-05-14	SRPY01	37639	
GCA_018360175.1	Claviceps arundinis	30330584	Contig	2021-05-14	SRPS01	91905	
GCA_004016465.1	Claviceps arundinis	30055381	Contig	2019-01-14	QEQZ01	39989	
GCA_018360085.1	Claviceps arundinis	30592454	Contig	2021-05-14	SRPR01	70672	
GCA_022288615.1	Claviceps arundinis	29878863	Contig	2022-02-16	JAIUSP01	55942	
GCA_018360045.1	Claviceps capensis	27728898	Contig	2021-05-14	SRPN01	59777	
GCA_022288535.1	Claviceps capensis	27462555	Contig	2022-02-16	JAIUSL01	40658	
GCA_018360365.1	Claviceps citrina	43472126	Contig	2021-05-14	SRQA01	16294	
GCA_018360075.1	Claviceps cyperi	26646729	Contig	2021-05-14	SRPQ01	27113	
GCA_022288585.1	Claviceps cyperi	26149012	Contig	2022-02-16	JAIUSO01	20797	
GCA_018360205.1	Claviceps digitariae	33417373	Contig	2021-05-14	SRPT01	32638	
GCA_000223055.1	Claviceps fusiformis PRL 1980	52585647	Contig	2011-08-08	AFRA01	19980	
GCA_018360465.1	Claviceps humidiphila	31161740	Contig	2021-05-14	SRQM01	55717	
GCA_004016155.1	Claviceps humidiphila	30488243	Contig	2019-01-14	QERB01	35139	
GCA_018360185.1	Claviceps lovelessii	41063740	Contig	2021-05-14	SRPU01	12480	
GCA_018360255.1	Claviceps maximensis	32978932	Contig	2021-05-14	SRPZ01	81956	
GCA_018360055.1	Claviceps monticola	27635999	Contig	2021-05-14	SRPP01	42785	
GCA_022288675.1	Claviceps monticola	27126671	Contig	2022-02-16	JAIUSN01	29889	
GCA_004016105.1	Claviceps occidentalis	28571566	Contig	2019-01-14	QEQY01	21589	
GCA_013435705.1	Claviceps paspali	29206133	Scaffold	2020-07-21	JABAEC01	89397	196155
GCA_013168865.1	Claviceps paspali	28963401	Scaffold	2020-05-26	JABAJK01	79562	146886
GCA_000223175.2	Claviceps paspali RRC 1481	28974307	Contig	2011-08-10	AFRC01	26898	
GCA_018360065.1	Claviceps pazoutovae	27795191	Contig	2021-05-14	SRPO01	56619	
GCA_022288525.1	Claviceps pazoutovae	27544752	Contig	2022-02-16	JAIUSM01	36068	
GCA_004016475.1	Claviceps perihumidiphila	30691559	Contig	2019-01-14	QEQX01	46550	
GCA_004016095.1	Claviceps purpurea	30199509	Contig	2019-01-14	QERA01	27733	
GCA_004016165.1	Claviceps purpurea	30251759	Contig	2019-01-14	QERD01	32494	
GCA_018360475.1	Claviceps purpurea	30528026	Contig	2021-05-14	SRQQ01	48403	
GCA_018360535.1	Claviceps purpurea	30502172	Contig	2021-05-14	SRQR01	44216	
GCA_018360565.1	Claviceps purpurea	30512745	Contig	2021-05-14	SRQP01	32579	
GCA_018360585.1	Claviceps purpurea	30693778	Contig	2021-05-14	SRQN01	39003	
GCA_018360605.1	Claviceps purpurea	30573498	Contig	2021-05-14	SRQO01	47245	
GCA_018360655.1	Claviceps purpurea	30626138	Contig	2021-05-14	SRQS01	50327	
GCA_018360675.1	Claviceps purpurea	30512801	Contig	2021-05-14	SRQZ01	48443	
GCA_018360685.1	Claviceps purpurea	30602050	Contig	2021-05-14	SRRD01	49955	
GCA_018360725.1	Claviceps purpurea	30760348	Contig	2021-05-14	SRQU01	46577	
GCA_018360735.1	Claviceps purpurea	30590494	Contig	2021-05-14	SRQX01	47464	
GCA_018360745.1	Claviceps purpurea	30683236	Contig	2021-05-14	SRQT01	49571	
GCA_018360755.1	Claviceps purpurea	30537121	Contig	2021-05-14	SRQW01	45114	
GCA_018360765.1	Claviceps purpurea	30508064	Contig	2021-05-14	SRQV01	45388	
GCA_018360825.1	Claviceps purpurea	30523917	Contig	2021-05-14	SRRA01	44564	
GCA_018360835.1	Claviceps purpurea	30556244	Contig	2021-05-14	SRRB01	51374	
GCA_018360845.1	Claviceps purpurea	30538565	Contig	2021-05-14	SRRE01	51505	
GCA_018360855.1	Claviceps purpurea	30642461	Contig	2021-05-14	SRRF01	47441	
GCA_018360865.1	Claviceps purpurea	30689426	Contig	2021-05-14	SRRG01	44299	
GCA_018360905.1	Claviceps purpurea	30796132	Contig	2021-05-14	SRRI01	49302	
GCA_018360925.1	Claviceps purpurea	30759852	Contig	2021-05-14	SRRJ01	49697	
GCA_018360935.1	Claviceps purpurea	31817348	Contig	2021-05-14	SRRK01	21051	
GCA_018360955.1	Claviceps purpurea	30607588	Contig	2021-05-14	SRQY01	50932	
GCA_018360975.1	Claviceps purpurea	30645442	Contig	2021-05-14	SRRC01	51635	
GCA_022275495.1	Claviceps purpurea	30241564	Contig	2022-02-16	JAIURK01	32705	
GCA_022276165.1	Claviceps purpurea	30171863	Contig	2022-02-16	JAIURM01	34609	
GCA_022276175.1	Claviceps purpurea	30274458	Contig	2022-02-16	JAIURL01	32095	
GCA_022277755.1	Claviceps purpurea	30149711	Contig	2022-02-16	JAIURN01	31191	
GCA_022278005.1	Claviceps purpurea	30086038	Contig	2022-02-16	JAIURO01	23553	
GCA_022278315.1	Claviceps purpurea	30218091	Contig	2022-02-16	JAIURP01	34804	
GCA_022278325.1	Claviceps purpurea	30157824	Contig	2022-02-16	JAIURQ01	29096	
GCA_022278435.1	Claviceps purpurea	30109785	Contig	2022-02-16	JAIURR01	33057	
GCA_022280575.1	Claviceps purpurea	30197808	Contig	2022-02-16	JAIURS01	31448	
GCA_022280885.1	Claviceps purpurea	30183595	Contig	2022-02-16	JAIURT01	35301	
GCA_022280935.1	Claviceps purpurea	30162301	Contig	2022-02-16	JAIURU01	29389	
GCA_022281405.1	Claviceps purpurea	30249987	Contig	2022-02-16	JAIURW01	33509	
GCA_022281415.1	Claviceps purpurea	30203936	Contig	2022-02-16	JAIURV01	35601	
GCA_022282795.1	Claviceps purpurea	30223423	Contig	2022-02-16	JAIURY01	31905	
GCA_022283425.1	Claviceps purpurea	30304653	Contig	2022-02-16	JAIURX01	33718	
GCA_022283695.1	Claviceps purpurea	30165540	Contig	2022-02-16	JAIUSB01	32130	
GCA_022284835.1	Claviceps purpurea	30259282	Contig	2022-02-16	JAIUSC01	33030	
GCA_022285405.1	Claviceps purpurea	30195775	Contig	2022-02-16	JAIUSD01	34398	
GCA_022287175.1	Claviceps purpurea	30292940	Contig	2022-02-16	JAIUSG01	39175	
GCA_022287665.1	Claviceps purpurea	30253558	Contig	2022-02-16	JAIUSI01	37492	
GCA_022287755.1	Claviceps purpurea	30594081	Contig	2022-02-16	JAIUSJ01	30338	
GCA_022288595.1	Claviceps purpurea	29917063	Scaffold	2022-02-16	JAIUSQ01	32739	36922
GCA_022288605.1	Claviceps purpurea	30077648	Scaffold	2022-02-16	JAIUSR01	33783	38254
GCA_022288665.1	Claviceps purpurea	30117611	Scaffold	2022-02-16	JAIUSS01	37105	41163
GCA_000347355.1	Claviceps purpurea 20.1	32091443	Scaffold	2012-08-02	CAGA01	46498	433221
GCA_018360225.1	Claviceps pusilla	45904044	Contig	2021-05-14	SRPW01	15010	
GCA_004016085.1	Claviceps quebecensis	35875594	Contig	2019-01-14	QEQW01	41916	
GCA_004016175.1	Claviceps ripicola	30598250	Contig	2019-01-14	QERE01	39984	
GCA_004016145.1	Claviceps ripicola	30692584	Contig	2019-01-14	QERC01	28795	
GCA_018360135.1	Claviceps sorghi	35635695	Contig	2021-05-14	SRPV01	16225	
GCA_018360355.1	Claviceps sp. Clav32 group G5	28658995	Contig	2021-05-14	SRQC01	58118	
GCA_022286875.1	Claviceps sp. Clav32 group G5	28435427	Contig	2022-02-16	JAIUSH01	42877	
GCA_018360525.1	Claviceps sp. Clav50 group G5	28784330	Contig	2021-05-14	SRQD01	66795	
GCA_022286325.1	Claviceps sp. Clav50 group G5	28499699	Contig	2022-02-16	JAIUSF01	48452	
GCA_018360435.1	Claviceps sp. LM218 group G6	31138742	Contig	2021-05-14	SRQI01	60464	
GCA_018360595.1	Claviceps sp. LM219 group G6	30771931	Contig	2021-05-14	SRQJ01	55312	
GCA_022283685.1	Claviceps sp. LM219 group G6	30428256	Contig	2022-02-16	JAIUSA01	35358	
GCA_018360445.1	Claviceps sp. LM220 group G6	30889598	Contig	2021-05-14	SRQK01	54100	
GCA_022283535.1	Claviceps sp. LM220 group G6	30351501	Contig	2022-02-16	JAIURZ01	36989	
GCA_018360575.1	Claviceps sp. LM454 group G7	31185114	Contig	2021-05-14	SRQL01	40844	
GCA_018360275.1	Claviceps sp. LM458 group G5	28432374	Contig	2021-05-14	SRQB01	45693	
GCA_018360375.1	Claviceps sp. LM77 group G4	28694029	Contig	2021-05-14	SRQE01	29222	
GCA_022275505.1	Claviceps sp. LM77 group G4	28557246	Contig	2022-02-16	JAIURJ01	21840	
GCA_018360385.1	Claviceps sp. LM78 group G4	28765009	Contig	2021-05-14	SRQF01	29608	
GCA_018360345.1	Claviceps sp. LM84 group G4	28940137	Contig	2021-05-14	SRQH01	36685	
GCA_022275515.1	Claviceps sp. LM84 group G4	28639186	Contig	2022-02-16	JAIURI01	23867	
GCA_018360215.1	Claviceps spartinae	29308890	Contig	2021-05-14	SRPX01	42688	
GCA_022288495.1	Claviceps spartinae	28974645	Contig	2022-02-16	JAIUSK01	28872	
GCA_003707795.1	Clavispora fructus	11442610	Scaffold	2018-10-31	PPLK01	181300	195674
GCA_001673695.2	Clavispora lusitaniae	11992787	Scaffold	2017-06-08	LYUB02	554658	699681
GCA_003675435.1	Clavispora lusitaniae	11921582	Scaffold	2018-10-23	QOBG01	241678	248062
GCA_003675455.1	Clavispora lusitaniae	12376361	Scaffold	2018-10-23	QOBK01	268946	327166
GCA_003675475.1	Clavispora lusitaniae	11930063	Scaffold	2018-10-23	QOBV01	186342	216162
GCA_003675495.1	Clavispora lusitaniae	11929732	Scaffold	2018-10-23	QOBF01	222000	246667
GCA_003675505.1	Clavispora lusitaniae	11987321	Scaffold	2018-10-23	QOBD01	231696	313435
GCA_003675535.1	Clavispora lusitaniae	11929227	Scaffold	2018-10-23	QOBE01	292815	360464
GCA_003675555.2	Clavispora lusitaniae	11999093	Contig	2020-06-18	QOBI02	1865392	
GCA_003675575.1	Clavispora lusitaniae	11917879	Scaffold	2018-10-23	QOBJ01	200901	209219
GCA_003675595.1	Clavispora lusitaniae	11927748	Scaffold	2018-10-23	QOBH01	230168	250038
GCA_003675615.1	Clavispora lusitaniae	11933622	Scaffold	2018-10-23	QOBL01	225228	239491
GCA_003675625.1	Clavispora lusitaniae	11923873	Scaffold	2018-10-23	QOBM01	313831	342308
GCA_003675655.1	Clavispora lusitaniae	11947351	Scaffold	2018-10-23	QOBO01	247935	263130
GCA_003675665.1	Clavispora lusitaniae	11928145	Scaffold	2018-10-23	QOBP01	189891	200897
GCA_003675685.1	Clavispora lusitaniae	11923013	Scaffold	2018-10-23	QOBN01	242864	270324
GCA_003675715.1	Clavispora lusitaniae	12053324	Scaffold	2018-10-23	QOBQ01	255894	274946
GCA_003675725.1	Clavispora lusitaniae	11927222	Scaffold	2018-10-23	QOBR01	246669	248083
GCA_003675755.1	Clavispora lusitaniae	12055492	Scaffold	2018-10-23	QOBS01	225770	278905
GCA_003675775.1	Clavispora lusitaniae	11927259	Scaffold	2018-10-23	QOBT01	439126	446300
GCA_003675795.1	Clavispora lusitaniae	11914231	Scaffold	2018-10-23	QOBU01	192155	220759
GCA_003675805.1	Clavispora lusitaniae	11946777	Scaffold	2018-10-23	QOBX01	202041	291352
GCA_003675835.1	Clavispora lusitaniae	11928405	Scaffold	2018-10-23	QOBW01	214574	225654
GCA_004026375.1	Clavispora lusitaniae	11907650	Contig	2019-01-16	SCGZ01	89311	
GCA_009498055.1	Clavispora lusitaniae	12081832	Complete Genome	2019-11-04		2006239	2006239
GCA_009498075.1	Clavispora lusitaniae	12088036	Complete Genome	2019-11-04		2006156	2006156
GCA_009498095.1	Clavispora lusitaniae	12103903	Complete Genome	2019-11-04		2006033	2006033
GCA_009498115.1	Clavispora lusitaniae	12086894	Complete Genome	2019-11-04		2006152	2006152
GCA_009498135.1	Clavispora lusitaniae	12096646	Complete Genome	2019-11-04		2006234	2006234
GCA_014636115.1	Clavispora lusitaniae	12128633	Contig	2020-09-21	JAASFG01	1862192	
GCA_023627755.1	Clavispora lusitaniae	11976527	Scaffold	2022-06-01	JAMAID01	601175	804577
GCA_023627815.1	Clavispora lusitaniae	12007935	Scaffold	2022-06-01	JAMAIC01	1158716	1185928
GCA_023627835.1	Clavispora lusitaniae	12010322	Scaffold	2022-06-01	JAMAIB01	615390	1297703
GCF_000003835.1	Clavispora lusitaniae ATCC 42720	12114892	Scaffold	2009-06-02	AAFT01	266609	1874050
GCA_000003835.1	Clavispora lusitaniae ATCC 42720	12114892	Scaffold	2009-06-02	AAFT01	266609	1874050
GCA_000410855.1	Clavispora lusitaniae MTCC 1001	11968522	Contig	2013-06-13	APWW01	165242	
GCA_022577645.1	Clavispora santaluciae	11018616	Contig	2022-03-15	JAJNMX01	1048728	
GCA_022577415.1	Clavispora santaluciae	10863639	Contig	2022-03-15	JAJNMZ01	218696	
GCA_022577425.1	Clavispora santaluciae	11019715	Contig	2022-03-15	JAJNNA01	650701	
GCA_022577575.1	Clavispora santaluciae	10922446	Contig	2022-03-15	JAJNMY01	654799	
GCA_022577675.1	Clavispora santaluciae	11089145	Contig	2022-03-15	JAJNMW01	532329	
GCA_022058765.1	Clavispora sp. NYNU 161120	12616965	Contig	2022-02-08	JAIUWH01	1864217	
GCA_023158955.1	Clavispora sp. NYNU 174173	15305418	Contig	2022-04-27	JAHWDG01	2408949	
GCA_015039315.1	Clavulina sp. PMI_390	41628453	Scaffold	2020-10-28	WIDE01	71419	268447
GCA_013398175.1	Climacteris rufus	1058972301	Scaffold	2020-07-10	VZRZ01	72434	863000
GCA_023055335.1	Clinocottus analis	538100726	Scaffold	2022-04-19	JALGQL01	9145431	21001540
GCA_023055415.1	Clinocottus analis	534899999	Scaffold	2022-04-19	JALGQM01	9433512	20474872
GCA_002778355.1	Clitarchus hookeri	3802613888	Scaffold	2017-11-16	NQII01	46246	316087
GCA_018250795.1	Clito sp. Burns02	269143486	Contig	2021-05-03	DWOF01	1602	
GCA_900068955.1	Clitocybe nebularis	59334347	Scaffold	2020-07-09	CEMJ01	3270	8036
GCA_015708445.2	Clitopilus hobsonii	36926258	Complete Genome	2021-01-25		3299406	3299406
GCA_944990035.1	Clitopilus passeckerianus	65609455	Contig	2022-08-05	CALYLX01	673524	
GCA_902829235.1	Cloeon dipterum	180286980	Scaffold	2020-04-15	CADEPI01	434950	461411
GCA_022818195.1	Clogmia albipunctata	327719462	Scaffold	2022-04-05	JAFKQN01	39683	257632
GCA_001014945.1	Clogmia albipunctata	256248749	Scaffold	2015-05-29	JXOV01	9372	13081
GCA_002105025.1	Clohesyomyces aquaticus	49677730	Contig	2017-04-20	MCFA01	169037	
GCA_003604175.2	Clonorchis sinensis	558124894	Chromosome	2021-04-12	NIRI02	838796	168711085
GCA_000236345.1	Clonorchis sinensis	547288241	Scaffold	2011-11-28	BADR02	233037	417486
GCA_902006505.2	Clonostachys byssicola	55062982	Scaffold	2021-11-18	CABFNO02	690354	889888
GCA_902077795.2	Clonostachys rhizophaga	59593020	Scaffold	2021-11-18	CABFNQ02	296893	614681
GCA_015832225.1	Clonostachys rosea	60683581	Contig	2020-12-08	JADCTT01	3024965	
GCA_000963775.2	Clonostachys rosea	55416396	Scaffold	2015-04-21	JYFM02	87988	569486
GCA_001640285.1	Clonostachys rosea	55184262	Scaffold	2016-05-09	LWRQ01	379744	528196
GCA_014925725.1	Clonostachys rosea	55510273	Scaffold	2020-10-23	JACYFM01	56277	824329
GCA_014925755.1	Clonostachys rosea	56858274	Scaffold	2020-10-23	JACYFL01	58025	805045
GCA_019843565.1	Clonostachys rosea	55572904	Scaffold	2021-09-01	JAHQJB01	697678	2030516
GCA_019843725.1	Clonostachys rosea	55519090	Scaffold	2021-09-01	JAHQIZ01	1304879	1749819
GCA_902085965.1	Clonostachys rosea	53069127	Scaffold	2021-09-27	CABFNS01	198372	219953
GCA_902827195.2	Clonostachys rosea f. rosea IK726	70731402	Scaffold	2022-05-03	CADEHS02	134737	1902177
GCA_902141235.2	Clonostachys solani	54492124	Contig	2021-11-18	CABFOC02	1837679	
GCA_905475355.2	Clostera curtula	512665902	Chromosome	2022-02-02		6772994	18278162
GCA_905475325.1	Clostera curtula	461785041	Scaffold	2021-04-15	CAJQFY01	653972	653972
GCA_900005825.1	Clunio marinus	85491412	Scaffold	2016-11-28	CVRI01	154800	1871155
GCF_900700415.2	Clupea harengus	786308905	Chromosome	2019-04-16	CAADHV01	1006413	29845739
GCF_000966335.1	Clupea harengus	807695261	Scaffold	2015-03-30	JZKK01	22277	1860920
GCA_000966335.1	Clupea harengus	807695261	Scaffold	2015-03-30	JZKK01	22277	1860920
GCA_900323705.1	Clupea harengus	789621745	Scaffold	2018-04-12	OOIJ01	28410	1966996
GCA_900700415.2	Clupea harengus	786308905	Chromosome	2019-04-16	CAADHV01	1006413	29845739
GCA_902175115.3	Clupea harengus	790426535	Scaffold	2019-08-15	CABIIO03	22496	1971137
GCA_920105625.1	Clusia tigrina	1216377468	Chromosome	2021-11-26	CAKKTE01	5698505	230177572
GCA_920105815.1	Clusia tigrina	540897059	Contig	2021-11-26	CAKKTG01	386394	
GCA_902728285.1	Clytia hemisphaerica	420978673	Scaffold	2020-02-04	CACVBU01	376564	1182947
GCA_014851415.1	Cnaphalocrocis medinalis	528450314	Chromosome	2020-10-07	JABMDO01	524627	16091296
GCA_013397755.1	Cnemophilus loriae	1043492295	Scaffold	2020-07-10	VZTF01	122939	1426893
GCA_001014335.1	Coboldia fuscipes	98759061	Scaffold	2015-05-28	JXOR01	145453	242385
GCA_004115165.2	Coccidioides immitis	27474893	Scaffold	2019-07-01	RHJW02	234788	3797145
GCA_000149815.1	Coccidioides immitis H538.4	27732018	Scaffold	2006-09-25	AASO01	11853	369304
GCA_000149895.1	Coccidioides immitis RMSCC 2394	28816906	Scaffold	2006-11-02	AATX01	160055	3573598
GCA_000150085.1	Coccidioides immitis RMSCC 3703	27648536	Scaffold	2007-07-18	ABBC01	8904	232990
GCF_000149335.2	Coccidioides immitis RS	28947925	Scaffold	2009-10-29	AAEC03	4311478	4323945
GCA_000149335.2	Coccidioides immitis RS	28947925	Scaffold	2009-10-29	AAEC03	4311478	4323945
GCA_020976775.1	Coccidioides posadasii	27810164	Contig	2021-11-24	JAJKKW01	39849	
GCA_020976795.1	Coccidioides posadasii	28562314	Contig	2021-11-24	JAJKKV01	66139	
GCF_000151335.2	Coccidioides posadasii C735 delta SOWgp	27013412	Contig	2009-06-17	ACFW01	2376830	
GCA_000150245.1	Coccidioides posadasii CPA 0001	28618790	Scaffold	2007-11-19	ABFO01	8460	210522
GCA_000150615.1	Coccidioides posadasii CPA 0020	27289265	Scaffold	2008-01-30	ABIV01	10257	74903
GCA_000150645.1	Coccidioides posadasii CPA 0066	27712713	Scaffold	2008-02-07	ABIW01	10974	87602
GCA_000150555.1	Coccidioides posadasii RMSCC 1037	26589484	Scaffold	2008-01-30	ABIS01	11211	62331
GCA_000150585.1	Coccidioides posadasii RMSCC 1038	26116408	Scaffold	2008-01-30	ABIT01	9482	77341
GCA_000150185.1	Coccidioides posadasii RMSCC 2133	27848964	Scaffold	2007-11-19	ABFM01	73671	3719881
GCA_000150055.1	Coccidioides posadasii RMSCC 3488	28146501	Scaffold	2007-07-18	ABBB01	235083	4351581
GCA_000150215.1	Coccidioides posadasii RMSCC 3700	25451258	Scaffold	2007-11-19	ABFN01	15870	284654
GCA_000170175.2	Coccidioides posadasii str. Silveira	27583241	Scaffold	2011-01-25	ABAI02	136654	1220107
GCA_018416015.2	Coccidioides posadasii str. Silveira	28193268	Chromosome	2022-02-01		8079863	8079863
GCF_907165205.1	Coccinella septempunctata	398849173	Chromosome	2021-05-17	CAJRAZ01	16512651	41442133
GCA_003568925.1	Coccinella septempunctata	514957465	Scaffold	2018-08-24	BHEC01	21314	67752
GCA_907165185.1	Coccinella septempunctata	389073761	Contig	2021-05-15	CAJRBA01	12431197	
GCA_907165205.1	Coccinella septempunctata	398849173	Chromosome	2021-05-17	CAJRAZ01	16512651	41442133
GCA_003693555.1	Coccinonectria pachysandricola	25704665	Scaffold	2018-10-29	QUZF01	216604	390316
GCA_013283235.1	Coccinonectria pachysandricola	26312792	Scaffold	2020-06-06	JABAHV01	264293	264293
GCA_000812005.1	Coccomyxa sp. LA000219	48546496	Scaffold	2015-01-02	JUGA01	694571	2254067
GCA_020887355.1	Coccomyxa sp. Obi	50164111	Chromosome	2021-10-05		2738301	2738301
GCA_001244535.1	Coccomyxa sp. SUA001	11754406	Contig	2015-08-05	LHAR01	570	
GCF_000258705.1	Coccomyxa subellipsoidea C-169	48826616	Contig	2012-04-13	AGSI01	1959569	
GCA_000258705.1	Coccomyxa subellipsoidea C-169	48826616	Contig	2012-04-13	AGSI01	1959569	
GCA_900406305.1	Cochlearia officinalis	164468807	Scaffold	2019-06-14	OVAT01	1506	1937
GCA_013396365.1	Cochlearius cochlearius	1173743951	Scaffold	2020-07-10	VWPP01	62809	1662124
GCA_004302925.1	Cochliomyia hominivorax	534026350	Contig	2019-02-26	PYHX01	616429	
GCA_024220525.1	Cochliopodium minus	50552767	Scaffold	2022-07-12	JAMYWO01	25757	126936
GCA_004114315.1	Cochlonema odontosperma	16841201	Scaffold	2019-01-25	QZWT01	20228	21635
GCA_006176705.1	Cocos nucifera	2102417611	Scaffold	2019-06-10	QRFJ01	163614	570487
GCA_003604295.1	Cocos nucifera	1839172334	Scaffold	2018-10-01	PDMH01	10326	85564
GCA_008124465.1	Cocos nucifera	2202455121	Chromosome	2019-08-29	VOII01	76122	419186
GCA_018251115.1	Codatractus alcaeus	423191607	Contig	2021-05-03	DWOQ01	2666	
